,id_count,UTM_E,UTM_N,Depth_m,geometry
8521,310451,406086.26,7613379.87,0.6859999999999999,POINT (406086.26 7613379.87)
8522,310452,406088.65,7613378.67,0.6867,POINT (406088.65 7613378.67)
8523,310453,406090.28,7613378.6,0.7653,POINT (406090.28 7613378.6)
8524,310454,406091.91,7613378.54,0.8029999999999999,POINT (406091.91 7613378.54)
8525,310455,406093.94,7613378.47,0.6962,POINT (406093.94 7613378.47)
8526,310456,406096.79,7613378.36,0.581,POINT (406096.79 7613378.36)
8527,310457,406098.01,7613378.31,0.5472,POINT (406098.01 7613378.31)
8528,310458,406099.63,7613378.25,0.6596,POINT (406099.63 7613378.25)
8529,310459,406102.07,7613378.16,0.6325,POINT (406102.07 7613378.16)
8530,310460,406103.29,7613378.12,0.5478000000000001,POINT (406103.29 7613378.12)
8531,310461,406105.73,7613378.02,0.5892000000000001,POINT (406105.73 7613378.02)
8532,310462,406107.77,7613377.95,0.5025,POINT (406107.77 7613377.95)
8533,310463,406108.58,7613377.92,0.5458,POINT (406108.58 7613377.92)
8534,310464,406110.21,7613377.86,0.6494,POINT (406110.21 7613377.86)
8535,310465,406112.65,7613377.77,0.47259999999999996,POINT (406112.65 7613377.77)
8536,310466,406113.46,7613377.73,0.5729,POINT (406113.46 7613377.73)
8537,310467,406115.9,7613377.64,0.535,POINT (406115.9 7613377.64)
8538,310468,406117.16,7613378.71,0.5133,POINT (406117.16 7613378.71)
8539,310469,406119.97,7613377.49,0.4618,POINT (406119.97 7613377.49)
8540,310470,406120.37,7613377.48,0.6162,POINT (406120.37 7613377.48)
8541,310471,406122.0,7613377.41,0.6345000000000001,POINT (406122 7613377.41)
8542,310472,406123.63,7613377.35,0.5241,POINT (406123.63 7613377.35)
8543,310473,406125.7,7613378.39,0.4794,POINT (406125.7 7613378.39)
8544,310474,406127.33,7613378.33,0.4171,POINT (406127.33 7613378.33)
8545,310475,406128.96,7613378.27,0.4781,POINT (406128.96 7613378.27)
8546,310476,406130.18,7613378.22,0.5621,POINT (406130.18 7613378.22)
8547,310477,406132.25,7613379.26,0.4171,POINT (406132.25 7613379.26)
8548,310478,406134.24,7613378.07,0.4686,POINT (406134.24 7613378.07)
8549,310479,406135.87,7613378.01,0.46590000000000004,POINT (406135.87 7613378.01)
8550,310480,406138.27,7613376.8,0.474,POINT (406138.27 7613376.8)
8551,310481,406140.34,7613377.84,0.5282,POINT (406140.34 7613377.84)
8552,310482,406141.56,7613377.8,0.4916,POINT (406141.56 7613377.8)
8553,310483,406142.82,7613378.86,0.45909999999999995,POINT (406142.82 7613378.86)
