,Counter_,Latitude,Longitude,Depth_m,geometry
3830,5200877,68.620613,-149.318651,0.5088,POINT (-149.318651 68.62061300000001)
3831,5200878,68.620628,-149.31865,0.2314,POINT (-149.31865 68.620628)
3832,5200879,68.62064000000001,-149.318646,0.2459,POINT (-149.318646 68.62064000000001)
3833,5200880,68.620661,-149.318651,0.3079,POINT (-149.318651 68.620661)
3834,5200881,68.620681,-149.318663,0.34130000000000005,POINT (-149.318663 68.620681)
3835,5200882,68.620696,-149.318676,0.35200000000000004,POINT (-149.318676 68.620696)
3836,5200883,68.620711,-149.318676,0.28,POINT (-149.318676 68.620711)
3837,5200884,68.620733,-149.31869,0.3709,POINT (-149.31869 68.620733)
3838,5200885,68.620745,-149.31868799999998,0.40659999999999996,POINT (-149.318688 68.620745)
3839,5200886,68.620756,-149.31869,0.42560000000000003,POINT (-149.31869 68.620756)
3840,5200887,68.62077099999999,-149.318698,0.396,POINT (-149.318698 68.62077099999999)
3841,5200888,68.620786,-149.3187,0.3274,POINT (-149.3187 68.620786)
3842,5200889,68.620806,-149.318711,0.3196,POINT (-149.318711 68.620806)
3843,5200890,68.620826,-149.318723,0.45909999999999995,POINT (-149.318723 68.62082599999999)
3844,5200891,68.62084300000001,-149.318735,0.44789999999999996,POINT (-149.318735 68.62084300000001)
3845,5200892,68.620848,-149.318731,0.4468,POINT (-149.318731 68.620848)
3846,5200893,68.620858,-149.31873000000002,0.4251,POINT (-149.31873 68.620858)
3847,5200894,68.620871,-149.318751,0.4686,POINT (-149.318751 68.62087099999999)
3848,5200895,68.620878,-149.318756,0.43119999999999997,POINT (-149.318756 68.620878)
3849,5200896,68.62089499999999,-149.31876100000002,0.381,POINT (-149.318761 68.62089499999999)
3850,5200897,68.62091099999999,-149.31876599999998,0.38659999999999994,POINT (-149.318766 68.62091099999999)
3851,5200898,68.620923,-149.318775,0.3771,POINT (-149.318775 68.620923)
3852,5200899,68.62093,-149.318776,0.28550000000000003,POINT (-149.318776 68.62093)
3853,5200900,68.62095500000001,-149.318781,0.3994,POINT (-149.318781 68.62095500000001)
3854,5200901,68.62096600000001,-149.31876100000002,0.4412,POINT (-149.318761 68.62096600000001)
3855,5200902,68.620976,-149.31876599999998,0.2984,POINT (-149.318766 68.620976)
3856,5200903,68.620981,-149.318768,0.45799999999999996,POINT (-149.318768 68.620981)
3857,5200904,68.62100000000001,-149.318781,0.34020000000000006,POINT (-149.318781 68.62100000000001)
3858,5200905,68.621011,-149.318793,0.31120000000000003,POINT (-149.318793 68.621011)
3859,5200906,68.621025,-149.318805,0.2119,POINT (-149.318805 68.621025)
3860,5200907,68.621038,-149.318811,0.20350000000000001,POINT (-149.318811 68.621038)
3861,5200908,68.621048,-149.318815,0.26539999999999997,POINT (-149.318815 68.621048)
3862,5200909,68.621066,-149.318823,0.2024,POINT (-149.318823 68.621066)
3863,5200910,68.621083,-149.318826,0.3464,POINT (-149.318826 68.621083)
3864,5200911,68.621096,-149.318833,0.4775,POINT (-149.318833 68.62109599999999)
3865,5200912,68.621113,-149.318846,0.5395,POINT (-149.318846 68.62111299999999)
3866,5200913,68.621131,-149.318856,0.5445,POINT (-149.318856 68.62113100000001)
3867,5200914,68.621155,-149.31884,0.7565999999999999,POINT (-149.31884 68.621155)
3868,5200915,68.621158,-149.318838,0.7114,POINT (-149.318838 68.62115799999999)
3869,5200916,68.62116800000001,-149.318848,0.43119999999999997,POINT (-149.318848 68.62116800000001)
3870,5200917,68.621183,-149.31884499999998,0.5746,POINT (-149.318845 68.621183)
3871,5200918,68.621193,-149.318846,0.6193,POINT (-149.318846 68.62119300000001)
3872,5200919,68.621206,-149.318838,0.6232,POINT (-149.318838 68.621206)
3873,5200920,68.621216,-149.318848,0.6533,POINT (-149.318848 68.621216)
3874,5200921,68.62123100000001,-149.318855,0.669,POINT (-149.318855 68.62123100000001)
3875,5200922,68.621251,-149.318856,0.5194,POINT (-149.318856 68.621251)
3876,5200923,68.621263,-149.31886,0.4139,POINT (-149.31886 68.621263)
3877,5200924,68.621273,-149.318856,0.5518,POINT (-149.318856 68.621273)
3878,5200925,68.621298,-149.318863,0.6332,POINT (-149.318863 68.621298)
3879,5200926,68.621313,-149.31886599999999,0.6064,POINT (-149.318866 68.621313)
3880,5200927,68.621328,-149.31885,0.8079999999999999,POINT (-149.31885 68.62132800000001)
3881,5200928,68.621336,-149.318848,0.6695,POINT (-149.318848 68.621336)
3882,5200929,68.62134300000001,-149.318851,0.5199,POINT (-149.318851 68.62134300000001)
3883,5200930,68.621351,-149.318851,0.5942000000000001,POINT (-149.318851 68.621351)
3884,5200931,68.621365,-149.31884499999998,0.6053000000000001,POINT (-149.318845 68.621365)
3885,5200932,68.62137299999999,-149.31885,0.6957,POINT (-149.31885 68.62137299999999)
3886,5200933,68.621388,-149.318846,0.6064,POINT (-149.318846 68.621388)
3887,5200934,68.621403,-149.31884,0.6332,POINT (-149.31884 68.621403)
3888,5200935,68.621413,-149.31884499999998,0.7108,POINT (-149.318845 68.621413)
3889,5200936,68.62142,-149.31884499999998,0.631,POINT (-149.318845 68.62142)
3890,5200937,68.621425,-149.318848,0.7292000000000001,POINT (-149.318848 68.621425)
3891,5200938,68.621436,-149.31884499999998,0.6483,POINT (-149.318845 68.621436)
3892,5200939,68.621445,-149.318853,0.6332,POINT (-149.318853 68.62144499999999)
3893,5200940,68.621463,-149.318861,0.5757,POINT (-149.318861 68.62146300000001)
3894,5200941,68.62148,-149.31886799999998,0.42840000000000006,POINT (-149.318868 68.62148000000001)
3895,5200942,68.621483,-149.318865,0.4496,POINT (-149.318865 68.621483)
3896,5200943,68.621501,-149.318861,0.405,POINT (-149.318861 68.62150099999999)
3897,5200944,68.621523,-149.31887,0.36200000000000004,POINT (-149.31887 68.621523)
3898,5200945,68.621526,-149.31886599999999,0.42450000000000004,POINT (-149.318866 68.621526)
3899,5200946,68.62154100000001,-149.318875,0.3475,POINT (-149.318875 68.62154100000001)
3900,5200947,68.621548,-149.318875,0.2978,POINT (-149.318875 68.621548)
3901,5200948,68.62156,-149.318878,0.3832,POINT (-149.318878 68.62156)
3902,5200949,68.621575,-149.318878,0.35810000000000003,POINT (-149.318878 68.62157500000001)
3903,5200950,68.621581,-149.318881,0.3586,POINT (-149.318881 68.62158100000001)
3904,5200951,68.621595,-149.318881,0.3475,POINT (-149.318881 68.621595)
3905,5200952,68.621606,-149.31888999999998,0.32630000000000003,POINT (-149.31889 68.621606)
3906,5200953,68.621611,-149.3189,0.2772,POINT (-149.3189 68.621611)
3907,5200954,68.621625,-149.318896,0.2281,POINT (-149.318896 68.62162499999999)
3908,5200955,68.621636,-149.318888,0.27940000000000004,POINT (-149.318888 68.621636)
3909,5200956,68.621641,-149.31888999999998,0.2348,POINT (-149.31889 68.621641)
3910,5200957,68.621666,-149.318901,0.2928,POINT (-149.318901 68.621666)
3911,5200958,68.621673,-149.318903,0.2984,POINT (-149.318903 68.621673)
3912,5200959,68.621685,-149.318905,0.2437,POINT (-149.318905 68.621685)
3913,5200960,68.621691,-149.318898,0.3436,POINT (-149.318898 68.621691)
3914,5200961,68.6217,-149.318901,0.41450000000000004,POINT (-149.318901 68.6217)
3915,5200962,68.621713,-149.318893,0.3408,POINT (-149.318893 68.621713)
3916,5200963,68.62173,-149.318888,0.3871,POINT (-149.318888 68.62173)
3917,5200964,68.62174,-149.318895,0.3815,POINT (-149.318895 68.62174)
3918,5200965,68.62174499999999,-149.3189,0.2041,POINT (-149.3189 68.62174499999999)
3919,5200966,68.62177,-149.318893,0.3,POINT (-149.318893 68.62177)
3920,5200967,68.621776,-149.31888999999998,0.3073,POINT (-149.31889 68.621776)
3921,5200968,68.62179499999999,-149.318883,0.42560000000000003,POINT (-149.318883 68.62179499999999)
3922,5200969,68.621801,-149.31888999999998,0.3575,POINT (-149.31889 68.621801)
