,LongitudeDDDDD,LatitudeDDDDD,DepthCm,UTM_E,UTM_N,Depth_m,geometry
255,-149.31799999999998,68.6104,87.0,405682.2,7612695.0,0.87,POINT (405682.2 7612695)
256,-149.31799999999998,68.6104,102.7,405682.28,7612695.4,1.0270000000000001,POINT (405682.28 7612695.4)
257,-149.31799999999998,68.6104,99.5,405682.66,7612694.6,0.995,POINT (405682.66 7612694.6)
258,-149.31799999999998,68.6104,100.2,405683.69,7612695.2,1.002,POINT (405683.69 7612695.2)
259,-149.31799999999998,68.6104,96.9,405685.93,7612695.1,0.9690000000000001,POINT (405685.93 7612695.1)
260,-149.31799999999998,68.6104,106.5,405686.9,7612695.6,1.065,POINT (405686.9 7612695.6)
261,-149.31799999999998,68.6104,105.2,405686.83,7612695.4,1.052,POINT (405686.83 7612695.4)
262,-149.31799999999998,68.6104,106.1,405688.51,7612695.0,1.061,POINT (405688.51 7612695)
263,-149.31799999999998,68.6104,101.7,405688.53,7612695.5,1.0170000000000001,POINT (405688.53 7612695.5)
264,-149.31799999999998,68.6104,100.9,405689.67,7612695.1,1.0090000000000001,POINT (405689.67 7612695.1)
265,-149.31799999999998,68.6104,97.7,405691.35,7612694.7,0.977,POINT (405691.35 7612694.7)
266,-149.31799999999998,68.6104,99.6,405692.27,7612693.9,0.996,POINT (405692.27 7612693.9)
267,-149.31799999999998,68.6104,91.9,405692.7,7612694.4,0.919,POINT (405692.7 7612694.4)
268,-149.317,68.6104,92.9,405693.9,7612694.0,0.929,POINT (405693.9 7612694)
269,-149.317,68.6104,93.9,405694.63,7612693.6,0.9390000000000001,POINT (405694.63 7612693.6)
270,-149.317,68.6104,72.03,405694.81,7612694.7,0.7203,POINT (405694.81 7612694.7)
271,-149.317,68.6104,78.58,405695.97,7612694.7,0.7857999999999999,POINT (405695.97 7612694.7)
272,-149.317,68.6104,92.4,405696.16,7612694.5,0.924,POINT (405696.16 7612694.5)
273,-149.317,68.6104,80.6,405696.47,7612693.7,0.8059999999999999,POINT (405696.47 7612693.7)
274,-149.317,68.6104,72.86,405696.82,7612693.9,0.7286,POINT (405696.82 7612693.9)
275,-149.317,68.6104,87.5,405697.64,7612694.1,0.875,POINT (405697.64 7612694.1)
276,-149.317,68.6104,81.4,405697.48,7612693.5,0.8140000000000001,POINT (405697.48 7612693.5)
277,-149.317,68.6104,88.9,405698.85,7612693.8,0.889,POINT (405698.85 7612693.8)
278,-149.317,68.6104,93.2,405700.15,7612694.2,0.932,POINT (405700.15 7612694.2)
279,-149.317,68.6104,90.0,405700.23,7612694.3,0.9,POINT (405700.23 7612694.3)
280,-149.317,68.6104,84.4,405700.28,7612694.0,0.8440000000000001,POINT (405700.28 7612694)
281,-149.317,68.6104,84.9,405701.87,7612694.7,0.8490000000000001,POINT (405701.87 7612694.7)
